Market Segment,Date,Day,Description
CM,02-Oct-2020,Friday,Mahatma Gandhi Jayanti
CM,16-Nov-2020,Monday,Diwali-Balipratipada
CM,30-Nov-2020,Monday,Gurunanak Jayanti
CM,25-Dec-2020,Friday,Christmas
CM,26-Jan-2021,Tuesday,Republic Day
CM,11-Mar-2021,Thursday,Mahashivratri
CM,29-Mar-2021,Monday,Holi
CM,02-Apr-2021,Friday,Good Friday
CM,14-Apr-2021,Wednesday,Dr.Baba Saheb Ambedkar Jayanti
CM,21-Apr-2021,Wednesday,Ram Navami
CM,13-May-2021,Thursday,Id-Ul-Fitr (Ramzan ID)
CM,21-Jul-2021,Wednesday,Bakri Id
CM,19-Aug-2021,Thursday,Moharram
CM,10-Sep-2021,Friday,Ganesh Chaturthi
CM,15-Oct-2021,Friday,Dussehra
CM,05-Nov-2021,Friday,Diwali-Balipratipada
CM,19-Nov-2021,Friday,Gurunanak Jayanti
